"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"15424-15501","SG","Allen","Crabbe","16.465432098765433","81","3500","POR@LAC","POR","LAC","","","",""
"15424-55059","PF","Clint","Capela","18.796103896103894","77","3500","HOU@GS","HOU","GS","","","",""
"15424-9680","PF","Amar'e","Stoudemire","13.075","52","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9563","C","Chris","Kaman","5.33125","16","3500","POR@LAC","POR","LAC","","","",""
"15424-15955","PF","James Michael","McAdoo","5.660975609756098","41","3500","HOU@GS","GS","HOU","","","",""
"15424-16331","C","Festus","Ezeli","16.83478260869565","46","3500","HOU@GS","GS","HOU","","","",""
"15424-9849","SG","Gerald","Green","13.936231884057971","69","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9549","SG","Brandon","Rush","9.176388888888889","72","3500","HOU@GS","GS","HOU","","","",""
"15424-9551","PF","Tyler","Hansbrough","5.654545454545455","44","3500","CHA@MIA","CHA","MIA","","","",""
"15424-15858","PF","Branden","Dawson","1.9666666666666668","6","3500","POR@LAC","LAC","POR","","","",""
"15424-58576","PF","Kevon","Looney","4","5","3500","HOU@GS","GS","HOU","O","Hip","",""
"15424-58150","PF","Cliff","Alexander","2.775","8","3500","POR@LAC","POR","LAC","","","",""
"15424-12348","SF","Wesley","Johnson","14.451249999999998","80","3500","POR@LAC","LAC","POR","","","",""
"15424-23234","PG","Pablo","Prigioni","9.081355932203389","59","3500","POR@LAC","LAC","POR","","","",""
"15424-9674","SG","Leandro","Barbosa","11.049999999999999","68","3500","HOU@GS","GS","HOU","","","",""
"15424-15993","SG","Pat","Connaughton","2.4529411764705884","34","3500","POR@LAC","POR","LAC","","","",""
"15424-63477","SF","Luis","Montero","1.3583333333333334","12","3500","POR@LAC","POR","LAC","","","",""
"15424-9589","PF","Udonis","Haslem","4.837837837837838","37","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9449","PF","Josh","Smith","14.225454545454545","55","3500","HOU@GS","HOU","GS","","","",""
"15424-23282","SF","Sam","Dekker","1.0666666666666667","3","3500","HOU@GS","HOU","GS","O","Back","",""
"15424-9796","SF","Luc Richard","Mbah a Moute","7.642666666666667","75","3500","POR@LAC","LAC","POR","","","",""
"15424-15559","SG","Jeremy","Lamb","16.543939393939397","66","3500","CHA@MIA","CHA","MIA","","","",""
"15424-9700","C","Spencer","Hawes","14.671929824561403","57","3500","CHA@MIA","CHA","MIA","","","",""
"15424-20805","SG","Troy","Daniels","8.044186046511628","43","3500","CHA@MIA","CHA","MIA","","","",""
"15424-9459","SF","Paul","Pierce","11.598529411764707","68","3500","POR@LAC","LAC","POR","","","",""
"15424-9941","PF","Jeff","Ayres","3.7588235294117647","17","3500","POR@LAC","LAC","POR","","","",""
"15424-20815","PG","Briante","Weber","15.357142857142858","7","3500","CHA@MIA","MIA","CHA","","","",""
"15424-9951","SG","Gerald","Henderson","14.412500000000001","72","3500","POR@LAC","POR","LAC","","","",""
